time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents,behavior_active
0.0,0.0,11.95942422678182,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7999999523162842,1.7999999523162842,6.378718e-06,6.378718e-06,1.2757436e-05,0.0,0.00017867665,0
0.96,0.0,11.48358692470891,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.4542968273162842,1.4542968273162842,3.1436446e-07,3.1436446e-07,6.287289e-07,0.0,0.0010374876,0
1.94,0.0,11.115979037905719,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.3577091693878174,1.3577091693878174,2.1453799e-07,2.1453799e-07,4.2907598e-07,0.0,0.020131303,0
2.9,0.0,11.196666328893809,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7357227802276611,1.7357227802276611,5.2130705e-10,5.2130705e-10,1.0426141e-09,0.0,0.17082953,0
3.88,0.0,12.07173195379302,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.2390050888061523,1.2390050888061523,2.2397317e-15,2.2397317e-15,4.4794634e-15,0.0,0.5965083,0
4.86,0.0,13.15129185232886,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.5221292972564697,1.5221292972564697,3.87546e-17,3.8754302e-17,7.75089e-17,0.0,0.19947559,0
5.84,0.0,14.655828435535229,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.798364281654358,1.798364281654358,2.85274e-16,2.85274e-16,5.70548e-16,0.0,0.009391156,0
6.82,0.0,15.306117007007018,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.3675546646118164,1.3675546646118164,1.1057233e-06,1.1057233e-06,2.2114466e-06,0.0,0.0018712974,0
7.8100000000000005,0.0,14.083461247615839,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7923336029052734,1.7923336029052734,1.9101396e-06,1.9101396e-06,3.8202793e-06,0.0,0.23597848,0
8.8,0.0,12.932902153252307,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7999999523162842,1.7999999523162842,3.3505526e-06,3.3505526e-06,6.701105e-06,0.0,0.030491803,0
